strategy,total_images,total_raw_regions,total_filtered_regions,report_reduction_ratio,unknown_rate_before,unknown_rate_after,unknown_reduction_absolute,unknown_reduction_relative,mean_pred_area_retained,mean_gt_tamper_area_coverage,mean_aggregated_iou,mean_aggregated_dice,no_report_images,valid_report_coverage_rate,mean_reports_per_image,severity_distribution_stability,change_type_distribution_stability,meets_success_criteria,anti_cheating_flag,recommended_by_tradeoff,selection_score,is_best
F0_no_filter,200,10395,10395,0.0,0.3920874844644748,0.14093314093314094,0.2511543435313338,0.640556899882607,1.0,0.9965713142785205,0.9546367875095549,0.9758166158828507,0,1.0,51.975,1.0,1.0,False,False,False,0.8496447949569568,False
F1_tiny_filter_ar0p0001,200,10395,320,0.9692159692159692,0.3920874844644748,0.078125,0.3139624844644748,0.8007459990550182,0.9985611270644627,0.9965642634245717,0.9559675906173145,0.9765326688601291,0,1.0,1.6,0.5339766714766714,0.7595102813852814,False,False,False,0.9564096980870409,False
F1_tiny_filter_ar0p0005,200,10395,261,0.9748917748917749,0.3920874844644748,0.06513409961685823,0.32695338484761655,0.8338786566834174,0.9982082284400725,0.9965642634245717,0.9563022538292517,0.9767105078940556,0,1.0,1.305,0.4094077059594301,0.7518833656764692,False,False,True,0.9590598284274819,True
F1_tiny_filter_ar0p001,200,10395,246,0.9763347763347764,0.3920874844644748,0.06910569105691057,0.3229817934075642,0.8237493064811868,0.997870047464753,0.996390245851481,0.9562968407971536,0.9767081189772122,0,1.0,1.23,0.36090756578561456,0.7439869074015415,False,False,False,0.9570980890052385,False
F2_low_confidence_tiny_filter,200,10395,8955,0.13852813852813853,0.3920874844644748,0.0027917364600781687,0.3892957480043966,0.9928798123615417,0.9997568381159683,0.996568801119323,0.9548504507835051,0.9759339796952808,0,1.0,44.775,0.9844861633806358,0.8618585955269372,False,False,False,0.8979570582921648,False
F3_merge_nearby_fragments,200,10395,1178,0.8866762866762867,0.3920874844644748,0.22920203735144312,0.16288544711303166,0.4154313860221926,1.0,0.9965713142785205,0.9546367875095549,0.9758166158828507,0,1.0,5.89,0.7477075713068921,0.7206206294491524,False,False,False,0.9069381812105509,False
F4_main_region_top1,200,10395,200,0.9807599807599807,0.3920874844644748,0.055,0.3370874844644748,0.8597251833347328,0.9708771864167132,0.9771639769938996,0.9460793696710703,0.9705445799211762,0,1.0,1.0,0.2714766714766714,0.761000481000481,False,False,False,0.9507807710606769,False
F4_main_region_top3,200,10395,594,0.9428571428571428,0.3920874844644748,0.18013468013468015,0.21195280432979463,0.5405752867100216,0.998698769412711,0.9965675019826142,0.9558428720200887,0.9764689205313573,0,1.0,2.97,0.6502645502645503,0.7172679172679173,False,False,False,0.9292904279595527,False
F4_main_region_top5,200,10395,956,0.9080327080327081,0.3920874844644748,0.2196652719665272,0.1724222124979476,0.4397544408576244,0.9988848488577822,0.99656825719176,0.9556660554828451,0.9763763089367646,0,1.0,4.78,0.7066231149913158,0.7066280457493848,False,False,False,0.9170453592979106,False
