strategy,total_images,total_raw_regions,total_filtered_regions,report_reduction_ratio,unknown_rate_before,unknown_rate_after,unknown_reduction_absolute,unknown_reduction_relative,mean_pred_area_retained,mean_gt_tamper_area_coverage,mean_aggregated_iou,mean_aggregated_dice,no_report_images,valid_report_coverage_rate,mean_reports_per_image,severity_distribution_stability,change_type_distribution_stability,meets_success_criteria,anti_cheating_flag,recommended_by_tradeoff,selection_score,is_best
F0_no_filter,1000,25989,25989,0.0,0.40805671701043633,0.44226403478394705,-0.034207317773510715,-0.08382981175784894,1.0,0.9965887139596729,0.9573244668616256,0.9778285735841605,0,1.0,25.989,1.0,1.0,False,False,False,0.7441842020135203,False
F1_tiny_filter_ar0p0001,1000,25989,1638,0.936973334872446,0.40805671701043633,0.0757020757020757,0.3323546413083606,0.8144814861603183,0.9988381073055742,0.9965854681377567,0.9584078994810867,0.9784048762083015,0,1.0,1.638,0.6004111770589895,0.6334380409181286,False,False,False,0.9575431300414365,False
F1_tiny_filter_ar0p0005,1000,25989,1354,0.9479010350532918,0.40805671701043633,0.05391432791728213,0.3541423890931542,0.8678754063594958,0.9982214956402949,0.9965631509207062,0.9589495630823515,0.9786932454964006,0,1.0,1.354,0.47742551345294193,0.6116502931333351,False,False,False,0.9632946548512075,False
F1_tiny_filter_ar0p001,1000,25989,1277,0.9508638270037324,0.40805671701043633,0.037588097102584185,0.3704686199078521,0.9078851161231519,0.9977487378836479,0.9963405042140087,0.9589715534580617,0.9787042020053879,0,1.0,1.277,0.43569122807905625,0.5953240623186371,False,False,True,0.9683898779608453,True
F2_low_confidence_tiny_filter,1000,25989,14619,0.4374927854092116,0.40805671701043633,0.008482112319584102,0.3995746046908522,0.9792133986134893,0.9995436587250152,0.9965875120637707,0.9577476945685832,0.9780541970552893,0,1.0,14.619,0.8763548220771267,0.566218077535637,False,False,False,0.929570313116029,False
F3_merge_nearby_fragments,1000,25989,5933,0.7717111085459233,0.40805671701043633,0.23141749536490813,0.1766392216455282,0.4328790932291173,1.0,0.9965887139596729,0.9573244668616256,0.9778285735841605,0,1.0,5.933,0.820250152249389,0.7891534605809611,False,False,False,0.905899240810184,False
F4_main_region_top1,1000,25989,1000,0.9615221824618108,0.40805671701043633,0.01,0.3980567170104363,0.9754936027685969,0.9759090882228254,0.9790705057571195,0.9472914335141871,0.9716196801040151,0,1.0,1.0,0.3104343760821886,0.5501858478587094,False,False,False,0.9678575149605597,False
F4_main_region_top3,1000,25989,2975,0.885528492823887,0.40805671701043633,0.16403361344537815,0.24402310356505819,0.5980127109605137,0.9987091428789105,0.9965861568500809,0.9585224995683388,0.9784736647441835,0,1.0,2.975,0.7387621071746255,0.7217695786614311,False,False,False,0.9349642037809786,False
F4_main_region_top5,1000,25989,4813,0.8148062641886952,0.40805671701043633,0.2088094743403283,0.19924724267010804,0.488283207613544,0.9990909973659128,0.9965864105109133,0.9581627873160735,0.9782806789208587,0,1.0,4.813,0.8009926557414447,0.7665454395563812,False,False,False,0.9206750067390459,False
