strategy,total_images,total_raw_regions,total_filtered_regions,report_reduction_ratio,unknown_rate_before,unknown_rate_after,unknown_reduction_absolute,unknown_reduction_relative,mean_pred_area_retained,mean_gt_tamper_area_coverage,mean_aggregated_iou,mean_aggregated_dice,no_report_images,valid_report_coverage_rate,mean_reports_per_image,severity_distribution_stability,change_type_distribution_stability,meets_success_criteria,anti_cheating_flag,recommended_by_tradeoff,selection_score,is_best
F0_no_filter,50,983,983,0.0,0.23451701202707395,0.23397761953204477,0.000539392495029184,0.002300014358731952,1.0,0.9647786436739659,0.8849909363269272,0.9325016819006227,0,1.0,19.66,1.0,1.0,False,False,False,0.8096664262659742,False
F1_tiny_filter_ar0p0001,50,983,88,0.9104781281790437,0.23451701202707395,0.022727272727272728,0.21178973929980122,0.9030890231338571,0.995832064188966,0.9628211878631115,0.8854635343841758,0.9325710178358736,0,1.0,1.76,0.8368167945990936,0.508149912142791,False,False,False,0.9662666205327328,False
F1_tiny_filter_ar0p0005,50,983,62,0.9369277721261444,0.23451701202707395,0.016129032258064516,0.21838797976900942,0.9312244680304792,0.9894301138230904,0.9596278833868059,0.8857756678346285,0.9322109132271963,0,1.0,1.24,0.7737669412266597,0.5063170675680111,False,False,False,0.9634077207991827,False
F1_tiny_filter_ar0p001,50,983,58,0.940996948118006,0.23451701202707395,0.017241379310344827,0.21727563271672912,0.9264813278946502,0.9847334705139525,0.9595493910324057,0.8865413127945945,0.9333474947209909,0,1.0,1.16,0.753744694285614,0.5063493177114393,False,False,False,0.9617903551281939,False
F2_low_confidence_tiny_filter,50,983,755,0.23194303153611392,0.23451701202707395,0.0026490066225165563,0.2318680054045574,0.9887044159414298,0.9990633654289921,0.9647453244060421,0.8852452565864702,0.9327215521895381,0,1.0,15.1,0.9080015899429372,0.7686713870904718,False,False,False,0.9189809498182807,False
F3_merge_nearby_fragments,50,983,290,0.7049847405900305,0.23451701202707395,0.14482758620689656,0.08968942582017739,0.38244315431506154,1.0,0.9647786436739659,0.8849909363269272,0.9325016819006227,0,1.0,5.8,0.8342792998210966,0.7430245202932613,False,False,True,0.9274939379297759,True
F4_main_region_top1,50,983,50,0.9491353001017294,0.23451701202707395,0.02,0.21451701202707396,0.9147183403577943,0.9729344244986933,0.9466963657102407,0.8788695056173114,0.9253660958975181,0,1.0,1.0,0.6842929806714141,0.46014242115971515,False,False,False,0.9541990733878762,False
F4_main_region_top3,50,983,150,0.8474059003051883,0.23451701202707395,0.07333333333333333,0.16118367869374062,0.6873005813119122,0.9891467855303674,0.9599815794783053,0.8851210329849662,0.9321371109956162,0,1.0,3.0,0.9264632078670736,0.5807256697185487,True,False,False,0.95444982500638,False
F4_main_region_top5,50,983,247,0.7487283825025433,0.23451701202707395,0.0931174089068826,0.14139960312019134,0.6029396413419568,0.9930980881013249,0.9617139292573578,0.8851450481561416,0.9323388606312457,0,1.0,4.94,0.9628749469730354,0.6724395698535014,True,False,False,0.9490127988749971,False
