strategy,total_images,total_raw_regions,total_filtered_regions,report_reduction_ratio,unknown_rate_before,unknown_rate_after,unknown_reduction_absolute,unknown_reduction_relative,mean_pred_area_retained,mean_gt_tamper_area_coverage,mean_aggregated_iou,mean_aggregated_dice,no_report_images,valid_report_coverage_rate,mean_reports_per_image,severity_distribution_stability,change_type_distribution_stability,meets_success_criteria,anti_cheating_flag,recommended_by_tradeoff,selection_score,is_best
F0_no_filter,1000,33895,33895,0.0,0.22320104875777674,0.3077445050892462,-0.08454345633146948,-0.37877714644261423,1.0,0.96451697277382,0.8928331973424926,0.9398208447718827,0,1.0,33.895,1.0,1.0,False,False,False,0.7816445150509098,False
F1_tiny_filter_ar0p0001,1000,33895,2189,0.9354182032748193,0.22320104875777674,0.05756052992233897,0.1656405188354378,0.7421135328767875,0.9952590470597475,0.9634020480256457,0.8936327632096834,0.9401609084503142,1,0.999,2.189,0.7338205463611962,0.543134425227291,False,True,False,0.9567445359938371,False
F1_tiny_filter_ar0p0005,1000,33895,1471,0.9566012686236908,0.22320104875777674,0.04486743711760707,0.17833361164016967,0.7989819610287839,0.9924574158729872,0.9625736637728173,0.8941496934577488,0.9403436135104629,1,0.999,1.471,0.6332590279353733,0.5276133987985651,False,True,False,0.9560308585216308,False
F1_tiny_filter_ar0p001,1000,33895,1331,0.9607316713379555,0.22320104875777674,0.03305785123966942,0.19014319751810732,0.8518920434126427,0.9900014719409076,0.961556457060549,0.8938787874872471,0.9397812961529702,2,0.998,1.331,0.5927130554883496,0.5115283210436083,False,True,False,0.9585156599754165,False
F2_low_confidence_tiny_filter,1000,33895,23594,0.30390913114028617,0.22320104875777674,0.005509875392048826,0.2176911733657279,0.9753142943426386,0.9993167792675891,0.9644503767730445,0.8932296994884027,0.9400496271835908,0,1.0,23.594,0.8542171613533625,0.6977653703028026,False,False,False,0.8873041735348345,False
F3_merge_nearby_fragments,1000,33895,5783,0.8293848650243398,0.22320104875777674,0.1364343766211309,0.08676667213664585,0.3887377439288252,1.0,0.96451697277382,0.8928331973424926,0.9398208447718827,0,1.0,5.783,0.9203373663879487,0.7552859188657631,False,False,True,0.9304593100147501,True
F4_main_region_top1,1000,33895,1000,0.9704971234695383,0.22320104875777674,0.02,0.20320104875777675,0.9103946862646489,0.9497469180006096,0.9272166486784611,0.8676517455461349,0.9215367713010049,0,1.0,1.0,0.5040210945567192,0.4621534149579585,False,False,False,0.9448770323036297,False
F4_main_region_top3,1000,33895,2984,0.9119634164331022,0.22320104875777674,0.06836461126005362,0.15483643749772313,0.6937083779823787,0.993700261170097,0.9625720194570365,0.8935206493047809,0.9400118910141056,0,1.0,2.984,0.7541336950929123,0.602230937523111,False,False,False,0.9575490310716067,False
F4_main_region_top5,1000,33895,4925,0.854698333087476,0.22320104875777674,0.09380710659898477,0.12939394215879196,0.5797192391296219,0.9960932349047437,0.9635214078852216,0.8935169966744368,0.9400890938105771,0,1.0,4.925,0.7944931757749933,0.6741025097662758,True,False,False,0.9498566702916332,False
